,feat_sel_type,num_features,fold,metric,score
112,pearson_residuals,100,2,f1,0.5611510791366906
113,pearson_residuals,200,2,f1,0.4806201550387597
114,pearson_residuals,300,2,f1,0.5777777777777777
115,pearson_residuals,400,2,f1,0.5426356589147286
116,pearson_residuals,500,2,f1,0.5692307692307692
117,pearson_residuals,1000,2,f1,0.5692307692307692
118,pearson_residuals,2000,2,f1,0.5671641791044776
119,pearson_residuals,5000,2,f1,0.5985401459854015
120,seurat,20,2,f1,0.0
121,seurat,50,2,f1,0.0
122,seurat,100,2,f1,0.1584158415841584
123,seurat,200,2,f1,0.2063492063492063
124,seurat,300,2,f1,0.1386138613861386
125,seurat,400,2,f1,0.3333333333333333
126,seurat,500,2,f1,0.4671532846715328
127,seurat,1000,2,f1,0.6330935251798561
128,seurat,2000,2,f1,0.5538461538461539
129,seurat,5000,2,f1,0.5970149253731343
130,cell_ranger,20,2,f1,0.0618556701030927
131,cell_ranger,50,2,f1,0.0808080808080808
132,cell_ranger,100,2,f1,0.173076923076923
133,cell_ranger,200,2,f1,0.196078431372549
134,cell_ranger,300,2,f1,0.2156862745098039
135,cell_ranger,400,2,f1,0.3454545454545454
136,cell_ranger,500,2,f1,0.3392857142857143
137,cell_ranger,1000,2,f1,0.4878048780487805
138,cell_ranger,2000,2,f1,0.5511811023622047
139,cell_ranger,5000,2,f1,0.5511811023622047
140,random_all_genes,20,2,f1,0.0530973451327433
141,random_all_genes,50,2,f1,0.1889763779527559
142,random_all_genes,100,2,f1,0.2833333333333333
143,random_all_genes,200,2,f1,0.3333333333333333
144,random_all_genes,300,2,f1,0.3247863247863248
145,random_all_genes,400,2,f1,0.3185840707964602
146,random_all_genes,500,2,f1,0.3304347826086956
147,random_all_genes,1000,2,f1,0.4098360655737705
148,random_all_genes,2000,2,f1,0.5079365079365079
149,random_all_genes,5000,2,f1,0.4812030075187969
150,seurat_v3,20,3,f1,0.068678459937565
151,seurat_v3,50,3,f1,0.3651804670912951
152,seurat_v3,100,3,f1,0.3518156969933619
153,seurat_v3,200,3,f1,0.5036163943209215
154,seurat_v3,300,3,f1,0.670602858918583
155,seurat_v3,400,3,f1,0.7198417930125247
156,seurat_v3,500,3,f1,0.737953795379538
157,seurat_v3,1000,3,f1,0.8119325551232166
