Cell	UMAP_1	UMAP_2	Celltype (malignancy)	Celltype (major-lineage)	Celltype (minor-lineage)	Cluster	Sample	Patient	Source	Stage
P1_Tumor_331	4.29725428438078	10.7135164789705	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_336	4.32245965814482	10.4302380136995	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_348	4.20551534509551	10.1819708399325	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_349	4.2051298222531	10.8842604212313	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_355	4.19619484758269	10.3811457209139	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_360	4.202379187106	9.95653653664876	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_370	4.13266034936797	10.2291586451082	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_374	4.24291892862212	10.7846405558138	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_383	-7.07205847883333	3.23510861916829	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_385	4.04721113061797	10.1871397547274	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_392	4.42620082712065	10.2679655603914	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_410	4.43820401048552	10.3343136362581	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_424	3.94544692850005	9.80156541390706	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_429	4.23374553537261	9.85488534493733	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_438	4.3012721142758	10.2377579264193	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_453	-8.09219054365266	2.26188040299703	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_457	4.55545540666472	10.4374535135775	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_480	4.10124774789702	10.062349563077	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_486	4.31112094735991	10.8066256098299	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_487	4.63189597940337	10.2419025949984	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_495	-8.93722609663118	2.67779541535664	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_517	4.19768877839934	9.98206449075032	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_518	4.4306883416165	10.4711229853182	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_526	-13.6674650111209	-6.54597305731486	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_530	4.27995582437407	10.6287272028475	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_545	4.17456169938933	9.88879514260579	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_547	4.03705235338103	10.731047873929	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_559	4.26309390878569	10.5157434992342	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_562	4.34556980943572	10.6884272150545	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_564	4.2524668774594	10.1521914057283	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_578	3.96086903428923	9.70073247475911	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_582	4.09919377183806	10.885721450284	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_586	4.18952604150664	9.94026685281087	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_589	4.10481115198027	10.4288742594271	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_598	-8.2189948954593	2.28750014825154	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_599	4.18312140321623	11.0430786661654	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_604	4.15387578821074	10.6280682138949	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_606	4.27528210496794	11.0128967813997	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_644	4.30136724328887	10.3689672998934	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_646	3.87846895074736	10.0340883783846	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_657	-7.78682212019075	2.92332792802144	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
