Cell	UMAP_1	UMAP_2	Celltype (malignancy)	Celltype (major-lineage)	Celltype (minor-lineage)	Cluster	Sample	Patient	Source	Stage
P1_Normal_277	-6.94250373029817	6.24533820672322	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_278	-7.19821623945344	6.22826886697102	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_284	-8.09260253095735	5.33827424569417	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_286	-3.79224805021394	6.36574101968098	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_294	-4.02041558408845	6.62467980904866	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_298	-4.15902833128084	4.10080361886311	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_299	-4.04973868513216	5.1417634539156	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_311	-6.32281998777498	6.70849252267171	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_314	-5.65329388761629	6.03143525643636	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_319	-3.28191308164705	5.5635278276949	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_329	-4.27444390440095	5.92659402413655	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_333	-7.07281617307771	6.61427760644246	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_335	-6.50931529188264	7.09655118508626	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_337	-6.49873570585359	7.28339601083089	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_341	-4.24895409727205	5.49411607308675	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_343	-7.62551478529085	5.90306878609944	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_344	-6.46576384687532	6.25597978158284	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_347	-3.83797721052278	5.28686500115681	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_349	-4.60099009657014	5.73619628472615	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_353	-6.86380175733674	6.62464786095906	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_356	-6.55690459394563	6.80399728341389	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_362	-6.34895257139314	6.74010777993489	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_369	-6.82069567823518	6.97625375314046	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_377	-6.20752791547883	6.69075942559529	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_378	-5.35800389433015	8.9325373224764	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_393	-6.16392401838411	6.52999949975301	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_395	-6.35383252287019	6.48427701516438	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_400	-5.40284327650178	4.09318757577229	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_404	-7.08520821714509	6.73628259225179	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_413	-6.37664298200716	6.17930150552083	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_419	-6.83969287061799	6.93338132424641	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_420	-6.95061186933626	6.96422362847615	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_423	-3.71558598661531	5.44867539925862	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_428	-4.02987126493562	4.33438754601765	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_430	-6.88714007520784	6.74514937920857	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_435	-5.74660424375642	6.26682687325764	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_440	-6.37310341978181	9.01005578561116	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_444	-7.16988400602449	6.13233733697224	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_446	-3.69797114515413	5.50848746819783	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_452	-4.08802870893587	4.23329616112996	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_460	-6.92362383985628	6.41647315545369	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_464	-6.21895674848665	5.98888230843831	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_467	-6.15985802793611	6.92018104119588	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_477	-7.12650660657991	5.32170320077229	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_492	-4.30661610746492	5.08691049142171	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_499	-4.12755993986238	4.42635083718587	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_502	-3.51086119794954	5.34913325829793	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_504	-6.27546290540803	6.98243976159383	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_508	-5.47734669828523	4.16126657052327	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_515	-6.1179206767093	6.290817027524	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_521	-6.70933751249422	7.06239867730428	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_522	-6.06504706525911	6.55636430306722	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_526	-3.68849734449495	5.92563939614583	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_528	-5.87431410932649	6.55062175317097	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_541	-6.03038243436922	9.15751004739095	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_544	-5.72112063551057	8.22933602853108	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_550	-6.07734755659212	6.10599971337605	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_551	-6.51646355772127	7.25583720727254	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_583	-6.44585303449739	9.08304715676595	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_584	-3.52016905927766	5.72860265298177	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_585	-4.40628604078401	5.98718953652669	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_586	-6.74526528501619	6.65581346078206	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_590	-3.8808658518802	4.47343898339558	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_598	-5.63547877454866	8.93451905770589	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_601	-5.66137627744783	6.12103677315999	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_606	-3.58656672620882	4.88793778939534	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_608	-5.95932559156526	6.46681714577962	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_611	-6.20594767713655	6.92523408456136	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_613	-2.69192079687227	9.10857606454183	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_617	-6.75082139158357	7.38757396264363	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_620	-7.09632710600007	6.73852325005818	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_621	-6.46874837064851	7.19035935921956	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_625	-7.12032441282381	6.87046981377889	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_632	-4.5711791911136	5.06704450173665	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_643	-6.50205163145174	7.16165900750447	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_645	-3.40667370939363	5.75875878854085	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_649	-6.57362345838655	6.50358367486287	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_651	-5.99069050932039	8.17273450417806	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_652	-4.17040375852693	6.51458573861409	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_658	-6.42128972196687	6.42996097131062	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_659	-3.8942730822574	6.62733722253133	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_669	-6.07693413877595	6.03523326440144	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_674	-6.45763425016511	6.92850184960652	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_683	-5.96262053632844	6.55463004632283	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_690	-6.36709384107698	9.63695741219808	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_695	-7.30208520078767	5.83370090050984	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_697	-4.18358163023103	6.66186118645955	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_700	-6.88611773634065	6.70639110131551	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_724	-6.71105412626375	6.71119571252156	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_726	-7.72026328230012	5.71156764550496	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_732	-7.09339265012849	6.63889527840901	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_737	-4.22908143186677	6.08766246362019	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_742	-7.27356270933259	6.23605609460164	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_748	-3.28658513212312	5.26320910973836	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_753	-3.63665846967805	6.39887786431599	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_755	-6.05551318311799	6.19435477776814	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_756	-3.56619433546175	4.68224359078694	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_761	-3.99438981199373	6.37978148980428	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_763	-7.01420907163728	6.53167272134114	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_767	-3.56270484113801	5.90489364190389	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_775	-6.0160205760013	6.45907664819051	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_787	-3.85715130949129	4.60118794961263	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_794	-6.66449288511384	6.51420283837605	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_801	-6.8907330431949	7.14274240060139	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_804	-6.72719935560335	6.35970950646687	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_806	-7.23695449018587	6.29746747536946	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_809	-3.90188006544221	5.8538281969576	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_812	-5.87738923215974	6.22067952676106	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_815	-7.87235430860628	5.28986192269612	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_829	-6.74569062376131	6.55581212563802	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_831	-3.44102124357332	6.14323020501424	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_833	-3.95724944257844	5.90451598687459	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_836	-4.97163657331575	5.98892283959676	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_838	-3.82219580793489	5.91609740777303	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_839	-5.22496394300569	3.92477059884358	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_845	-7.21736935758699	6.1803605608492	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_849	-4.38551644468416	4.96459937615681	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_859	-6.40185956144441	6.75767446084309	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_865	-6.38215855741609	7.20716071648885	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_872	-6.40903882169832	6.81431460900594	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_873	-6.48870495939363	6.1273009829073	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_876	-4.52510337019075	4.94793582482625	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_883	-4.03981904173006	6.17753148598958	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_896	-5.9519164958011	9.75201821847249	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_897	-5.15110139036287	4.09508824868489	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_898	-7.83661154890169	5.70912194772054	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_899	-5.61360863828767	8.12169480843831	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_905	-3.48759392881502	5.64920115990926	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_921	-4.23592213773836	5.71742797417928	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_923	-6.42544535780061	6.37070680184651	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_947	-7.63937548780549	5.71404529137898	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_956	-6.01582841062654	4.24298024697591	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_965	-6.54981211805452	7.20747399850179	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_967	-6.20013741636384	6.80848432107259	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_975	-7.18070725584138	5.1484305910616	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_983	-5.51358346128572	8.73823476357747	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_984	-3.39062384748567	5.84766555352498	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_987	-4.78681210661043	5.85035253091145	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_990	-5.93001822614778	9.1468813471346	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_992	-5.90172366285432	6.37589574380208	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_993	-7.215190211774	5.86231351418782	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_998	-5.67883328580965	7.7966353945284	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1002	-6.82211522245515	6.7208879045992	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1014	-3.75108651304353	5.82261586709309	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1019	-5.70971230650056	6.22421718163777	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1020	-3.42249373579134	5.56036115212727	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1030	-7.77634982252229	5.54286122842122	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1046	-6.85063246870149	6.79350066705037	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1047	-6.98550681257356	6.84432673974324	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1048	-5.21873835706819	9.81854558511067	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1049	-5.99589471006502	6.54885936303426	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1082	-7.20930794859041	6.11214757485677	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1083	-7.30755023145784	5.92120385690022	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1100	-6.9412906565677	6.47853446526814	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1105	-4.220232764722	6.09731126351643	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1106	-3.6652315058719	9.09200978799153	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1109	-5.82338027143587	6.03450847192097	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1115	-7.08100442075838	4.59498048348714	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1145	-5.70414284849275	8.59926343484212	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1146	-6.54132346296419	6.81017947717	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1157	-6.81571511411775	6.58571887536336	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1162	-3.43496159696687	6.36057115121175	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1170	-6.14993456983674	6.64738202615071	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1173	-5.42943410062898	4.32873130364705	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1176	-6.77449111127962	6.56240535302449	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1180	-6.60382918501008	6.88576055093098	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1183	-6.06357173109163	6.57649303002644	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1190	-6.3725331225406	8.44223619027425	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1195	-7.00097302579988	6.43159747643758	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1206	-7.00136498594392	6.60676312966634	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1210	-6.10219697141756	6.84855866952229	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1212	-6.32800797605623	6.93684888406087	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1214	-4.25502041959871	4.44070077462483	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1224	-3.94039611005891	6.12695050759602	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1230	-3.65802458906282	5.73420882745076	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1232	-5.89196995878328	6.88359666390706	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1236	-4.40380219602693	5.68329310937215	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1237	-6.49392203474153	8.16382146401692	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1244	-6.51831607008089	5.30990958733846	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1246	-5.19023970747102	3.81209326310445	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1261	-5.65121535444368	8.92353749795247	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1264	-7.83951644086946	5.03336453957845	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1273	-4.79577998304475	5.69818425698567	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1288	-5.68177155637849	5.80562568230916	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1291	-5.85815219068635	6.10589147134114	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1299	-6.76732377195466	6.86467814965535	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1302	-6.06958607816804	8.75752854867268	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1311	-6.26816157484163	6.63463712258626	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1320	-3.63251761579622	5.85446763558675	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1328	-5.59337166929353	6.18881106896687	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1348	-4.13490990781892	6.18088126702596	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1349	-4.28655270719636	6.35268569512654	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1358	-4.21115140104402	5.98363376183797	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1361	-6.50645951414216	6.36284471078206	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1369	-6.11443738126863	6.64580178780843	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1386	-5.54241923475374	6.01465535683919	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1392	-3.78881386900056	5.09691072030354	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1400	-7.90392760419954	4.88174844308186	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1404	-4.40082101011384	5.95696950478841	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1405	-6.85341529035676	7.07951427026082	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1408	-6.13819340849031	6.69480491204549	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1409	-5.78862074995149	5.94570613427449	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1415	-3.26026348257173	9.44056726022054	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1417	-6.77464083814729	6.93453288598347	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1428	-6.77931431913484	6.97410321755696	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1431	-6.7256415286075	6.9027555040865	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1433	-5.89881877088655	6.15430951638509	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1436	-4.6871459879886	4.14916635079671	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1444	-3.51743106031526	5.75253749413777	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1449	-6.26691416883577	8.90199971719075	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1453	-6.81479577207674	6.97436595483113	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1461	-7.75182608747591	5.84392476601888	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1467	-6.66334847593416	6.76399303002644	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1468	-6.74153880262483	6.5237820200472	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1493	-3.78683165693391	4.69666028542806	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
P1_Normal_1496	-6.29760197782625	6.72112441582967	Immune cells	CD8T	CD8Teff	2	P1_Normal	P1	NAT	Primary
